grid,ritmo_representativo_pct,duracao_mediana_pit_convencional,qtd_pit_stops,qtd_compostos_distintos,voltas_stint_medio,air_temp_media,track_temp_media,humidity_media,pressure_media,wind_speed_medio,primeiro_composto,composto_mais_utilizado,rainfall_ocorreu
7,-1.1028539878028487,23.816,3,2,17.75,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,MEDIUM,SOFT,0
8,,,0,1,1.0,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,MEDIUM,MEDIUM,0
9,0.104671195917172,24.137999999999998,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,MEDIUM,0
10,0.10712664060972266,23.328,3,2,17.75,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
11,,,0,1,1.0,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
12,0.3747102755601306,24.8215,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,MEDIUM,SOFT,0
13,0.6206541334019988,24.7215,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
14,0.009013649240285915,24.262,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
15,0.17797523935720871,23.616500000000002,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,MEDIUM,MEDIUM,0
16,0.0,24.1565,2,2,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,SOFT,SOFT,0
17,-0.30139274331794086,23.79,3,2,17.75,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,MEDIUM,MEDIUM,0
18,0.913075956739362,24.292,3,3,17.75,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,MEDIUM,MEDIUM,0
19,0.9939616892944536,23.352,3,2,17.75,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,HARD,MEDIUM,0
